ep=56, test_acc=67.25999999999999, loss_cls=3.2280642986297607, loss_div=0.41048094630241394, loss_total=4.049021244049072
ep=57, test_acc=65.97, loss_cls=3.209388017654419, loss_div=0.4086051285266876, loss_total=4.0265960693359375
ep=58, test_acc=66.72, loss_cls=3.207820415496826, loss_div=0.40862932801246643, loss_total=4.025079727172852
ep=59, test_acc=67.19000000000001, loss_cls=3.235468864440918, loss_div=0.4083263576030731, loss_total=4.052120685577393
ep=60, test_acc=67.03, loss_cls=3.173940896987915, loss_div=0.40886881947517395, loss_total=3.991675853729248
ep=61, test_acc=67.60000000000001, loss_cls=3.2005228996276855, loss_div=0.4040088653564453, loss_total=4.008542060852051
ep=62, test_acc=66.78, loss_cls=3.2367749214172363, loss_div=0.40558454394340515, loss_total=4.047947406768799
ep=63, test_acc=66.24, loss_cls=3.1970067024230957, loss_div=0.4048003852367401, loss_total=4.006604194641113
ep=64, test_acc=66.82000000000001, loss_cls=3.222803831100464, loss_div=0.4054003953933716, loss_total=4.033603668212891
ep=65, test_acc=67.60000000000001, loss_cls=3.2194983959198, loss_div=0.4022514522075653, loss_total=4.023998260498047
ep=66, test_acc=65.34, loss_cls=3.2482433319091797, loss_div=0.4021076560020447, loss_total=4.052456855773926
ep=67, test_acc=66.14, loss_cls=3.2221407890319824, loss_div=0.4033373296260834, loss_total=4.028814792633057
ep=68, test_acc=67.9, loss_cls=3.1487085819244385, loss_div=0.40086451172828674, loss_total=3.9504377841949463
ep=69, test_acc=65.12, loss_cls=3.2214415073394775, loss_div=0.3984425365924835, loss_total=4.018325328826904
ep=70, test_acc=65.57, loss_cls=3.2293765544891357, loss_div=0.3998970091342926, loss_total=4.029174327850342
ep=71, test_acc=66.03999999999999, loss_cls=3.151333808898926, loss_div=0.399303674697876, loss_total=3.949939012527466
ep=72, test_acc=66.31, loss_cls=3.176386594772339, loss_div=0.3978878855705261, loss_total=3.9721617698669434
ep=73, test_acc=68.08, loss_cls=3.179887056350708, loss_div=0.3991427719593048, loss_total=3.9781737327575684
ep=74, test_acc=67.07, loss_cls=3.217595100402832, loss_div=0.39636585116386414, loss_total=4.0103278160095215
ep=75, test_acc=66.92, loss_cls=3.1979873180389404, loss_div=0.39701035618782043, loss_total=3.99200701713562
ep=76, test_acc=67.38, loss_cls=3.181936264038086, loss_div=0.39636582136154175, loss_total=3.97466778755188
ep=77, test_acc=67.88, loss_cls=3.199162483215332, loss_div=0.39484477043151855, loss_total=3.988853931427002
ep=78, test_acc=66.75999999999999, loss_cls=3.1614186763763428, loss_div=0.3948925733566284, loss_total=3.951202392578125
ep=79, test_acc=67.03, loss_cls=3.22676157951355, loss_div=0.3929741382598877, loss_total=4.012709140777588
ep=80, test_acc=66.42, loss_cls=3.1590969562530518, loss_div=0.39260342717170715, loss_total=3.944304943084717
ep=81, test_acc=67.60000000000001, loss_cls=3.2058844566345215, loss_div=0.39256325364112854, loss_total=3.99101185798645
ep=82, test_acc=67.34, loss_cls=3.202028512954712, loss_div=0.3901771008968353, loss_total=3.9823832511901855
ep=83, test_acc=67.69, loss_cls=3.1572186946868896, loss_div=0.3885926902294159, loss_total=3.934404134750366
ep=84, test_acc=68.94, loss_cls=3.1843345165252686, loss_div=0.3877338767051697, loss_total=3.959803819656372
ep=85, test_acc=67.17999999999999, loss_cls=3.1934595108032227, loss_div=0.38901564478874207, loss_total=3.971492290496826
ep=86, test_acc=68.52000000000001, loss_cls=3.2052254676818848, loss_div=0.38714879751205444, loss_total=3.9795234203338623
ep=87, test_acc=66.94, loss_cls=3.173471212387085, loss_div=0.3864940106868744, loss_total=3.9464569091796875
ep=88, test_acc=68.30000000000001, loss_cls=3.211110830307007, loss_div=0.385571151971817, loss_total=3.9822583198547363
ep=89, test_acc=67.77, loss_cls=3.196625232696533, loss_div=0.3840797543525696, loss_total=3.964785575866699
ep=90, test_acc=66.81, loss_cls=3.206282615661621, loss_div=0.38446182012557983, loss_total=3.9752085208892822
ep=91, test_acc=67.25999999999999, loss_cls=3.1903927326202393, loss_div=0.3843909204006195, loss_total=3.959176778793335
